From,To,Species,Gene Name
Angptl4,57875,Mus musculus,angiopoietin-like 4(Angptl4)
Pld4,104759,Mus musculus,"phospholipase D family, member 4(Pld4)"
Tmem176a,66058,Mus musculus,transmembrane protein 176A(Tmem176a)
Tmem176b,65963,Mus musculus,transmembrane protein 176B(Tmem176b)
Esm1,71690,Mus musculus,endothelial cell-specific molecule 1(Esm1)
Tm4sf1,17112,Mus musculus,transmembrane 4 superfamily member 1(Tm4sf1)
Fcrls,80891,Mus musculus,"Fc receptor-like S, scavenger receptor(Fcrls)"
Psmb8,16913,Mus musculus,"proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)(Psmb8)"
Tnc,21923,Mus musculus,tenascin C(Tnc)
Lum,17022,Mus musculus,lumican(Lum)
Prdx6,11758,Mus musculus,peroxiredoxin 6(Prdx6)
Map3k8,26410,Mus musculus,mitogen-activated protein kinase kinase kinase 8(Map3k8)
Tnfrsf12a,27279,Mus musculus,"tumor necrosis factor receptor superfamily, member 12a(Tnfrsf12a)"
Ezr,22350,Mus musculus,ezrin(Ezr)
Tgfbr2,21813,Mus musculus,"transforming growth factor, beta receptor II(Tgfbr2)"
Tgfbr1,21812,Mus musculus,"transforming growth factor, beta receptor I(Tgfbr1)"
Slc11a1,18173,Mus musculus,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1(Slc11a1)"
Papss2,23972,Mus musculus,3'-phosphoadenosine 5'-phosphosulfate synthase 2(Papss2)
Plat,18791,Mus musculus,"plasminogen activator, tissue(Plat)"
Lag3,16768,Mus musculus,lymphocyte-activation gene 3(Lag3)
Inpp5d,16331,Mus musculus,inositol polyphosphate-5-phosphatase D(Inpp5d)
Runx2,12393,Mus musculus,runt related transcription factor 2(Runx2)
Hspb1,15507,Mus musculus,heat shock protein 1(Hspb1)
Lbp,16803,Mus musculus,lipopolysaccharide binding protein(Lbp)
Cd14,12475,Mus musculus,CD14 antigen(Cd14)
Igsf6,80719,Mus musculus,"immunoglobulin superfamily, member 6(Igsf6)"
Klf15,66277,Mus musculus,Kruppel-like factor 15(Klf15)
Vcan,13003,Mus musculus,versican(Vcan)
AA517562,57880,Mus musculus,EST AA517562(AA517562)
Gfra1,14585,Mus musculus,glial cell line derived neurotrophic factor family receptor alpha 1(Gfra1)
Cx3cr1,13051,Mus musculus,chemokine (C-X3-C motif) receptor 1(Cx3cr1)
Pkp1,18772,Mus musculus,plakophilin 1(Pkp1)
Tnfsf11,21943,Mus musculus,"tumor necrosis factor (ligand) superfamily, member 11(Tnfsf11)"
Aif1,11629,Mus musculus,allograft inflammatory factor 1(Aif1)
Fcer1g,14127,Mus musculus,"Fc receptor, IgE, high affinity I, gamma polypeptide(Fcer1g)"
Prss23,76453,Mus musculus,"protease, serine 23(Prss23)"
Zfp81,224694,Mus musculus,zinc finger protein 81(Zfp81)
Plscr2,18828,Mus musculus,phospholipid scramblase 2(Plscr2)
Susd6,217684,Mus musculus,sushi domain containing 6(Susd6)
Plin2,101055843,Mus musculus,perilipin 2(Plin2)
Plin2,11520,Mus musculus,perilipin 2(Plin2)
Slc14a1,108052,Mus musculus,"solute carrier family 14 (urea transporter), member 1(Slc14a1)"
Crym,12971,Mus musculus,"crystallin, mu(Crym)"
Plin4,57435,Mus musculus,perilipin 4(Plin4)
Myh4,17884,Mus musculus,"myosin, heavy polypeptide 4, skeletal muscle(Myh4)"
Fcer1a,14125,Mus musculus,"Fc receptor, IgE, high affinity I, alpha polypeptide(Fcer1a)"
Grn,14824,Mus musculus,granulin(Grn)
Sprr1a,20753,Mus musculus,small proline-rich protein 1A(Sprr1a)
Gusb,110006,Mus musculus,"glucuronidase, beta(Gusb)"
Lcorl,209707,Mus musculus,ligand dependent nuclear receptor corepressor-like(Lcorl)
Mmp12,17381,Mus musculus,matrix metallopeptidase 12(Mmp12)
Adamts1,11504,Mus musculus,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1(Adamts1)"
Man2b1,17159,Mus musculus,"mannosidase 2, alpha B1(Man2b1)"
Sult1c1,20888,Mus musculus,"sulfotransferase family, cytosolic, 1C, member 1(Sult1c1)"
Krt15,16665,Mus musculus,keratin 15(Krt15)
Pmaip1,58801,Mus musculus,phorbol-12-myristate-13-acetate-induced protein 1(Pmaip1)
Rab29,226422,Mus musculus,"RAB29, member RAS oncogene family(Rab29)"
Ctsd,13033,Mus musculus,cathepsin D(Ctsd)
Mdfic,16543,Mus musculus,MyoD family inhibitor domain containing(Mdfic)
Ctsc,13032,Mus musculus,cathepsin C(Ctsc)
Ctsh,13036,Mus musculus,cathepsin H(Ctsh)
Oaf,102644,Mus musculus,out at first homolog(Oaf)
Ctsl,13039,Mus musculus,cathepsin L(Ctsl)
Cd37,12493,Mus musculus,CD37 antigen(Cd37)
Rrm2,20135,Mus musculus,ribonucleotide reductase M2(Rrm2)
Cebpd,12609,Mus musculus,"CCAAT/enhancer binding protein (C/EBP), delta(Cebpd)"
Cyba,13057,Mus musculus,"cytochrome b-245, alpha polypeptide(Cyba)"
Cebpb,12608,Mus musculus,"CCAAT/enhancer binding protein (C/EBP), beta(Cebpb)"
Cebpa,12606,Mus musculus,"CCAAT/enhancer binding protein (C/EBP), alpha(Cebpa)"
Steap4,117167,Mus musculus,STEAP family member 4(Steap4)
Cd34,12490,Mus musculus,CD34 antigen(Cd34)
Vim,22352,Mus musculus,vimentin(Vim)
Ctss,13040,Mus musculus,cathepsin S(Ctss)
Atf3,11910,Mus musculus,activating transcription factor 3(Atf3)
Rbp1,19659,Mus musculus,"retinol binding protein 1, cellular(Rbp1)"
Ms4a6b,69774,Mus musculus,"membrane-spanning 4-domains, subfamily A, member 6B(Ms4a6b)"
Serpinb1a,66222,Mus musculus,"serine (or cysteine) peptidase inhibitor, clade B, member 1a(Serpinb1a)"
Tspo,12257,Mus musculus,translocator protein(Tspo)
Slc44a2,68682,Mus musculus,"solute carrier family 44, member 2(Slc44a2)"
Bcl3,12051,Mus musculus,B cell leukemia/lymphoma 3(Bcl3)
Rab32,67844,Mus musculus,"RAB32, member RAS oncogene family(Rab32)"
Sh3bgr,50795,Mus musculus,SH3-binding domain glutamic acid-rich protein(Sh3bgr)
Ctsz,64138,Mus musculus,cathepsin Z(Ctsz)
Calcoco2,76815,Mus musculus,calcium binding and coiled-coil domain 2(Calcoco2)
Csf2rb2,12984,Mus musculus,"colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)(Csf2rb2)"
Tgfb1,21803,Mus musculus,"transforming growth factor, beta 1(Tgfb1)"
H2-K1,14972,Mus musculus,"histocompatibility 2, K1, K region(H2-K1)"
Lgals3,16854,Mus musculus,"lectin, galactose binding, soluble 3(Lgals3)"
P2ry6,233571,Mus musculus,"pyrimidinergic receptor P2Y, G-protein coupled, 6(P2ry6)"
Tgfbi,21810,Mus musculus,"transforming growth factor, beta induced(Tgfbi)"
AU020206,100504230,Mus musculus,expressed sequence AU020206(AU020206)
Ms4a6d,68774,Mus musculus,"membrane-spanning 4-domains, subfamily A, member 6D(Ms4a6d)"
Sdc4,20971,Mus musculus,syndecan 4(Sdc4)
Cyp2d22,56448,Mus musculus,"cytochrome P450, family 2, subfamily d, polypeptide 22(Cyp2d22)"
Actl11,67722,Mus musculus,actin-like 11(Actl11)
Dkk2,56811,Mus musculus,dickkopf WNT signaling pathway inhibitor 2(Dkk2)
C3ar1,12267,Mus musculus,complement component 3a receptor 1(C3ar1)
Nckap1l,105855,Mus musculus,NCK associated protein 1 like(Nckap1l)
Tnnc2,21925,Mus musculus,"troponin C2, fast(Tnnc2)"
Fmod,14264,Mus musculus,fibromodulin(Fmod)
Matn4,17183,Mus musculus,matrilin 4(Matn4)
Matn2,17181,Mus musculus,matrilin 2(Matn2)
Ptprc,19264,Mus musculus,"protein tyrosine phosphatase, receptor type, C(Ptprc)"
Lpl,16956,Mus musculus,lipoprotein lipase(Lpl)
Nid2,18074,Mus musculus,nidogen 2(Nid2)
Mpeg1,17476,Mus musculus,macrophage expressed gene 1(Mpeg1)
Plek,56193,Mus musculus,pleckstrin(Plek)
Cst7,13011,Mus musculus,cystatin F (leukocystatin)(Cst7)
Lox,16948,Mus musculus,lysyl oxidase(Lox)
Slc15a3,65221,Mus musculus,"solute carrier family 15, member 3(Slc15a3)"
Ctla2a,13024,Mus musculus,cytotoxic T lymphocyte-associated protein 2 alpha(Ctla2a)
Ctla2b,13025,Mus musculus,cytotoxic T lymphocyte-associated protein 2 beta(Ctla2b)
Il17ra,16172,Mus musculus,interleukin 17 receptor A(Il17ra)
Pycard,66824,Mus musculus,PYD and CARD domain containing(Pycard)
Folh1,53320,Mus musculus,folate hydrolase 1(Folh1)
Gm1549,260300,Mus musculus,predicted gene 1549(Gm1549)
Fli1,14247,Mus musculus,Friend leukemia integration 1(Fli1)
Lyz1,17110,Mus musculus,lysozyme 1(Lyz1)
Lyz2,17105,Mus musculus,lysozyme 2(Lyz2)
Soat1,20652,Mus musculus,sterol O-acyltransferase 1(Soat1)
Clec7a,56644,Mus musculus,"C-type lectin domain family 7, member a(Clec7a)"
Tgm1,21816,Mus musculus,"transglutaminase 1, K polypeptide(Tgm1)"
Fas,14102,Mus musculus,Fas (TNF receptor superfamily member 6)(Fas)
Spon1,233744,Mus musculus,"spondin 1, (f-spondin) extracellular matrix protein(Spon1)"
Gpr34,23890,Mus musculus,G protein-coupled receptor 34(Gpr34)
Parp3,235587,Mus musculus,"poly (ADP-ribose) polymerase family, member 3(Parp3)"
Mertk,17289,Mus musculus,c-mer proto-oncogene tyrosine kinase(Mertk)
Cd44,12505,Mus musculus,CD44 antigen(Cd44)
Cd48,12506,Mus musculus,CD48 antigen(Cd48)
Tgm2,21817,Mus musculus,"transglutaminase 2, C polypeptide(Tgm2)"
Arpc1b,11867,Mus musculus,"actin related protein 2/3 complex, subunit 1B(Arpc1b)"
Nupr1,56312,Mus musculus,nuclear protein transcription regulator 1(Nupr1)
Cd52,23833,Mus musculus,CD52 antigen(Cd52)
Cd53,12508,Mus musculus,CD53 antigen(Cd53)
Lcn2,16819,Mus musculus,lipocalin 2(Lcn2)
Tfcp2l1,81879,Mus musculus,transcription factor CP2-like 1(Tfcp2l1)
Osmr,18414,Mus musculus,oncostatin M receptor(Osmr)
Rag2,19374,Mus musculus,recombination activating gene 2(Rag2)
Socs3,12702,Mus musculus,suppressor of cytokine signaling 3(Socs3)
Postn,50706,Mus musculus,"periostin, osteoblast specific factor(Postn)"
